page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
14,44,reference_content,"54. Jeon, Y. G., Kim, Y. Y., Lee, G. & Kim, J. B. Physiological and pathological roles of lipogenesis. Nat. Metab. 5, 735–759 (2023).","[610.0, 497.0, 1069.0, 527.0]",reference_item,0.85,"[""reference content label: 54. Jeon, Y. G., Kim, Y. Y., Lee, G. & Kim, J. B. Physiologi""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,45,reference_content,"55. Dickens, F. The citric acid content of animal tissues, with reference to its occurrence in bone and tumour. Biochem. J. 35, 1011–1023 (1941).","[609.0, 529.0, 1108.0, 559.0]",reference_item,0.85,"[""reference content label: 55. Dickens, F. The citric acid content of animal tissues, w""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,46,reference_content,"56. Hu, Y. Y., Rawal, A. & Schmidt-Rohr, K. Strongly bound citrate stabilizes the apatite nanocrystals in bone. Proc. Natl Acad. Sci. USA 107, 22425–22429 (2010).","[610.0, 561.0, 1084.0, 591.0]",reference_item,0.85,"[""reference content label: 56. Hu, Y. Y., Rawal, A. & Schmidt-Rohr, K. Strongly bound c""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,47,reference_content,"57. Davies, E. et al. Citrate bridges between mineral platelets in bone. Proc. Natl Acad. Sci. USA 111, E1354–E1363 (2014).","[610.0, 594.0, 1108.0, 623.0]",reference_item,0.85,"[""reference content label: 57. Davies, E. et al. Citrate bridges between mineral platel""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,48,reference_content,"58. Pajor, A. M. Sodium-coupled dicarboxylate and citrate transporters from the SLC13 family. Pflug. Arch. 466, 119–130 (2014).","[611.0, 625.0, 1091.0, 656.0]",reference_item,0.85,"[""reference content label: 58. Pajor, A. M. Sodium-coupled dicarboxylate and citrate tr""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,49,reference_content,"59. Dirckx, N. et al. A specialized metabolic pathway partitions citrate in hydroxyapatite to impact mineralization of bones and teeth. Proc. Natl Acad. Sci. USA 119, e2212178119 (2022).","[610.0, 658.0, 1108.0, 702.0]",reference_item,0.85,"[""reference content label: 59. Dirckx, N. et al. A specialized metabolic pathway partit""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,50,reference_content,"60. Cosman, F., Nieves, J. W. & Dempster, D. W. Treatment sequence matters: anabolic and antiresorptive therapy for osteoporosis. J. Bone Miner. Res. 32, 198–202 (2017).","[610.0, 704.0, 1108.0, 736.0]",reference_item,0.85,"[""reference content label: 60. Cosman, F., Nieves, J. W. & Dempster, D. W. Treatment se""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,51,reference_content,"61. Jilka, R. L. et al. Increased bone formation by prevention of osteoblast apoptosis with parathyroid hormone. J. Clin. Invest. 104, 439–446 (1999).","[610.0, 738.0, 1101.0, 767.0]",reference_item,0.85,"[""reference content label: 61. Jilka, R. L. et al. Increased bone formation by preventi""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,52,reference_content,"62. Kim, S. W. et al. Intermittent parathyroid hormone administration converts quiescent lining cells to active osteoblasts. J. Bone Miner. Res. 27, 2075–2084 (2012).","[610.0, 768.0, 1100.0, 799.0]",reference_item,0.85,"[""reference content label: 62. Kim, S. W. et al. Intermittent parathyroid hormone admin""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,53,reference_content,"63. Wu, X. et al. Inhibition of Sca-1-positive skeletal stem cell recruitment by alendronate blunts the anabolic effects of parathyroid hormone on bone remodeling. Cell Stem Cell 7, 571–580 (2010).","[610.0, 801.0, 1114.0, 846.0]",reference_item,0.85,"[""reference content label: 63. Wu, X. et al. Inhibition of Sca-1-positive skeletal stem""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,54,reference_content,"64. Esen, E., Lee, S. Y., Wice, B. M. & Long, F. PTH promotes bone anabolism by stimulating aerobic glycolysis via IGF signaling. J. Bone Miner. Res. 30, 1959–1968 (2015).","[610.0, 848.0, 1109.0, 880.0]",reference_item,0.85,"[""reference content label: 64. Esen, E., Lee, S. Y., Wice, B. M. & Long, F. PTH promote""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,55,reference_content,"65. Alekos, N. S. et al. Mitochondrial  $ \beta $-oxidation of adipose-derived fatty acids by osteoblasts fuels parathyroid hormone-induced bone formation. JCI Insight 8, e165604 (2023).","[610.0, 882.0, 1116.0, 926.0]",reference_item,0.85,"[""reference content label: 65. Alekos, N. S. et al. Mitochondrial  $ \\beta $-oxidation ""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,56,reference_content,"66. Maridas, D. E. et al. Progenitor recruitment and adipogenic lipolysis contribute to the anabolic actions of parathyroid hormone on the skeleton. FASEB J. 33, 2885–2898 (2019)","[610.0, 929.0, 1119.0, 959.0]",reference_item,0.85,"[""reference content label: 66. Maridas, D. E. et al. Progenitor recruitment and adipoge""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,57,reference_content,"67. Esen, E. et al. WNT-LRP5 signaling induces Warburg effect through mTORC2 activation during osteoblast differentiation. Cell Metab. 17, 745–755 (2013).","[609.0, 960.0, 1119.0, 990.0]",reference_item,0.85,"[""reference content label: 67. Esen, E. et al. WNT-LRP5 signaling induces Warburg effec""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,58,reference_content,"68. Chen, H. et al. Increased glycolysis mediates Wnt7b-induced bone formation. FASEB J. 33, 7810–7821 (2019).","[609.0, 992.0, 1108.0, 1023.0]",reference_item,0.85,"[""reference content label: 68. Chen, H. et al. Increased glycolysis mediates Wnt7b-indu""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,59,reference_content,"69. Karner, C. M., Esen, E., Okunade, A. L., Patterson, B. W. & Long, F. Increased glutamine catabolism mediates bone anabolism in response to WNT signaling. J. Clin. Invest. 125, 551–562 (2015).","[610.0, 1024.0, 1110.0, 1070.0]",reference_item,0.85,"[""reference content label: 69. Karner, C. M., Esen, E., Okunade, A. L., Patterson, B. W""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,60,reference_content,"70. Frey, J. L. et al. Wnt-Lrp5 signaling regulates fatty acid metabolism in the osteoblast. Mol. Cell Biol. 35, 1979–1991 (2015).","[610.0, 1072.0, 1096.0, 1103.0]",reference_item,0.85,"[""reference content label: 70. Frey, J. L. et al. Wnt-Lrp5 signaling regulates fatty ac""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,61,reference_content,"71. Frey, J. L., Kim, S. P., Li, Z., Wolfgang, M. J. & Riddle, R. C. Beta-catenin directs long-chain fatty acid catabolism in the osteoblasts of male mice. Endocrinology 159, 272–284 (2018).","[609.0, 1104.0, 1118.0, 1135.0]",reference_item,0.85,"[""reference content label: 71. Frey, J. L., Kim, S. P., Li, Z., Wolfgang, M. J. & Riddl""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,62,reference_content,"72. van Gastel, N. & Carmeliet, G. Metabolic regulation of skeletal cell fate and function in physiology and disease. Nat. Metab. 3, 11–20 (2021).","[609.0, 1136.0, 1118.0, 1167.0]",reference_item,0.85,"[""reference content label: 72. van Gastel, N. & Carmeliet, G. Metabolic regulation of s""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,63,reference_content,"73. Regan, J. N. et al. Up-regulation of glycolytic metabolism is required for HIF1α-driven bone formation. Proc. Natl Acad. Sci. USA 111, 8673–8678 (2014).","[610.0, 1168.0, 1097.0, 1199.0]",reference_item,0.85,"[""reference content label: 73. Regan, J. N. et al. Up-regulation of glycolytic metaboli""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
